Company,Date,PreviousDate,TFIDF_Change
3M,2026-08-28,2026-08-27,0.07111095401189205
A. O. Smith,2026-07-16,2026-07-15,0.13062919258958916
A. O. Smith,2026-07-17,2026-07-16,0.11546744204326809
A. O. Smith,2026-07-18,2026-07-17,0.09355966211991873
A. O. Smith,2026-07-19,2026-07-18,0.11545296793802284
A. O. Smith,2026-07-20,2026-07-19,0.20057912942632483
A. O. Smith,2026-07-21,2026-07-20,0.06870752885013243
A. O. Smith,2026-07-22,2026-07-21,0.21779100990181255
A. O. Smith,2026-07-23,2026-07-22,0.21580294371994702
A. O. Smith,2026-07-24,2026-07-23,0.10551285596006899
A. O. Smith,2026-07-25,2026-07-24,0.09745874694111611
A. O. Smith,2026-07-26,2026-07-25,0.06703295977837154
A. O. Smith,2026-07-27,2026-07-26,0.07057262558744148
A. O. Smith,2026-07-28,2026-07-27,0.06471987695390724
A. O. Smith,2026-07-29,2026-07-28,0.08768532270699259
A. O. Smith,2026-07-30,2026-07-29,0.0817917655019208
A. O. Smith,2026-07-31,2026-07-30,0.11404483839843149
A. O. Smith,2026-08-01,2026-07-31,0.08365244050384513
A. O. Smith,2026-08-02,2026-08-01,0.0728559816161457
A. O. Smith,2026-08-03,2026-08-02,0.06896243321475026
A. O. Smith,2026-08-04,2026-08-03,0.07312436397030864
A. O. Smith,2026-08-05,2026-08-04,0.0713844017166464
A. O. Smith,2026-08-06,2026-08-05,0.06793959367399183
A. O. Smith,2026-08-07,2026-08-06,0.07635770097645356
A. O. Smith,2026-08-08,2026-08-07,0.0698206723979492
A. O. Smith,2026-08-09,2026-08-08,0.09529783031220351
A. O. Smith,2026-08-10,2026-08-09,0.07228441512246198
A. O. Smith,2026-08-11,2026-08-10,0.081640752060685
A. O. Smith,2026-08-12,2026-08-11,0.07583770256401756
A. O. Smith,2026-08-13,2026-08-12,0.06271173176339229
A. O. Smith,2026-08-14,2026-08-13,0.07672997526459358
A. O. Smith,2026-08-15,2026-08-14,0.07450124789111423
A. O. Smith,2026-08-16,2026-08-15,0.0661223485258784
A. O. Smith,2026-08-17,2026-08-16,0.06934430275415837
A. O. Smith,2026-08-18,2026-08-17,0.07506821150623277
A. O. Smith,2026-08-20,2026-08-18,0.06664932365151555
A. O. Smith,2026-08-21,2026-08-20,0.06392356263704091
A. O. Smith,2026-08-22,2026-08-21,0.07116042942565237
A. O. Smith,2026-08-23,2026-08-22,0.06884893161862793
A. O. Smith,2026-08-24,2026-08-23,0.06264714715461472
A. O. Smith,2026-08-25,2026-08-24,0.08219684645894687
A. O. Smith,2026-08-26,2026-08-25,0.07355707370234954
A. O. Smith,2026-08-27,2026-08-26,0.07102792149189763
A. O. Smith,2026-08-28,2026-08-27,0.07436571573153605
AES Corporation,2026-07-16,2026-07-15,0.1060582280252611
AES Corporation,2026-07-17,2026-07-16,0.1353046866183535
AES Corporation,2026-07-18,2026-07-17,0.08992452128466355
AES Corporation,2026-07-19,2026-07-18,0.0816702212669973
AES Corporation,2026-07-20,2026-07-19,0.11899713783159938
AES Corporation,2026-07-21,2026-07-20,0.06393490644146949
AES Corporation,2026-07-22,2026-07-21,0.14745846935454743
AES Corporation,2026-07-23,2026-07-22,0.1415245867208843
AES Corporation,2026-07-24,2026-07-23,0.06458088600370737
AES Corporation,2026-07-25,2026-07-24,0.07143886369806662
AES Corporation,2026-07-26,2026-07-25,0.0689362245503169
AES Corporation,2026-07-27,2026-07-26,0.081485118071433
AES Corporation,2026-07-28,2026-07-27,0.07676135357606284
AES Corporation,2026-07-29,2026-07-28,0.06599680696031918
AES Corporation,2026-07-30,2026-07-29,0.059340666840650536
AES Corporation,2026-07-31,2026-07-30,0.06344116264469912
AES Corporation,2026-08-01,2026-07-31,0.0750212437345189
AES Corporation,2026-08-02,2026-08-01,0.06403315372048901
AES Corporation,2026-08-03,2026-08-02,0.06031342960556252
AES Corporation,2026-08-04,2026-08-03,0.06157638628217743
AES Corporation,2026-08-05,2026-08-04,0.05936265024349652
AES Corporation,2026-08-06,2026-08-05,0.06355411710246439
AES Corporation,2026-08-07,2026-08-06,0.06893135168858522
AES Corporation,2026-08-08,2026-08-07,0.08738105370603388
AES Corporation,2026-08-09,2026-08-08,0.06147468690009639
AES Corporation,2026-08-10,2026-08-09,0.065062642909411
AES Corporation,2026-08-11,2026-08-10,0.06745946645213807
AES Corporation,2026-08-12,2026-08-11,0.060993673917147606
AES Corporation,2026-08-13,2026-08-12,0.0567410622479575
AES Corporation,2026-08-14,2026-08-13,0.06742553120720796
AES Corporation,2026-08-15,2026-08-14,0.0691239324636832
AES Corporation,2026-08-16,2026-08-15,0.07428917606823204
AES Corporation,2026-08-17,2026-08-16,0.0670913517937558
AES Corporation,2026-08-18,2026-08-17,0.06005838316201717
AES Corporation,2026-08-20,2026-08-18,0.09676977265982656
AES Corporation,2026-08-21,2026-08-20,0.08228880138050854
AES Corporation,2026-08-22,2026-08-21,0.053639110581714555
AES Corporation,2026-08-23,2026-08-22,0.06203779281905164
AES Corporation,2026-08-24,2026-08-23,0.08752832143154265
AES Corporation,2026-08-25,2026-08-24,0.07389854846504296
AES Corporation,2026-08-26,2026-08-25,0.06802805944387724
AES Corporation,2026-08-27,2026-08-26,0.07736474291763396
AES Corporation,2026-08-28,2026-08-27,0.2887323571461561
APA Corporation,2026-07-16,2026-07-15,0.13082622737553629
APA Corporation,2026-07-17,2026-07-16,0.12021194448454753
APA Corporation,2026-07-18,2026-07-17,0.1135997156068187
APA Corporation,2026-07-19,2026-07-18,0.13698037011254394
APA Corporation,2026-07-20,2026-07-19,0.22096872482212637
APA Corporation,2026-07-21,2026-07-20,0.058893061289465365
APA Corporation,2026-07-22,2026-07-21,0.15754768905412242
APA Corporation,2026-07-23,2026-07-22,0.1764130319056565
APA Corporation,2026-07-24,2026-07-23,0.06824728909765965
APA Corporation,2026-07-25,2026-07-24,0.07026207282623176
APA Corporation,2026-07-26,2026-07-25,0.06444138380143272
APA Corporation,2026-07-27,2026-07-26,0.05967730789796888
APA Corporation,2026-07-28,2026-07-27,0.051626490020366234
APA Corporation,2026-07-29,2026-07-28,0.0516449577930036
APA Corporation,2026-07-30,2026-07-29,0.05306314710761484
APA Corporation,2026-07-31,2026-07-30,0.07802241413007549
APA Corporation,2026-08-01,2026-07-31,0.07307043420273207
APA Corporation,2026-08-02,2026-08-01,0.07009881336065604
APA Corporation,2026-08-03,2026-08-02,0.051599487010845935
APA Corporation,2026-08-04,2026-08-03,0.06873597986302649
APA Corporation,2026-08-05,2026-08-04,0.0565759592369266
APA Corporation,2026-08-06,2026-08-05,0.08981189746259377
APA Corporation,2026-08-07,2026-08-06,0.08030472495287777
APA Corporation,2026-08-08,2026-08-07,0.0548872864331692
APA Corporation,2026-08-09,2026-08-08,0.0537625532785625
APA Corporation,2026-08-10,2026-08-09,0.04578668301474287
APA Corporation,2026-08-11,2026-08-10,0.05449541525184676
APA Corporation,2026-08-12,2026-08-11,0.06600735476244513
APA Corporation,2026-08-13,2026-08-12,0.0585611620113522
APA Corporation,2026-08-14,2026-08-13,0.06958383641590216
APA Corporation,2026-08-15,2026-08-14,0.06975070021218921
APA Corporation,2026-08-16,2026-08-15,0.06963267081084745
APA Corporation,2026-08-17,2026-08-16,0.05296830805780628
APA Corporation,2026-08-18,2026-08-17,0.05918771424550073
APA Corporation,2026-08-20,2026-08-18,0.07322798722472668
APA Corporation,2026-08-21,2026-08-20,0.07820091806870066
APA Corporation,2026-08-22,2026-08-21,0.09269948811430695
APA Corporation,2026-08-23,2026-08-22,0.05471700282000058
APA Corporation,2026-08-24,2026-08-23,0.06106762457209103
APA Corporation,2026-08-25,2026-08-24,0.06319183988195287
APA Corporation,2026-08-26,2026-08-25,0.1083552262416082
APA Corporation,2026-08-27,2026-08-26,0.06744293223567221
APA Corporation,2026-08-28,2026-08-27,0.05923512014310062
AT&T,2026-07-16,2026-07-15,0.2794418802858657
AT&T,2026-07-17,2026-07-16,0.16647607375632345
AT&T,2026-07-18,2026-07-17,0.10785619379649292
AT&T,2026-07-19,2026-07-18,0.09839223341681269
AT&T,2026-07-20,2026-07-19,0.0926685115110566
AT&T,2026-07-21,2026-07-20,0.12431400326224729
AT&T,2026-07-22,2026-07-21,0.20319844586818903
AT&T,2026-07-23,2026-07-22,0.22521266111937754
AT&T,2026-07-24,2026-07-23,0.13281696126277553
AT&T,2026-07-25,2026-07-24,0.13158447955405272
AT&T,2026-07-26,2026-07-25,0.08436811894358975
AT&T,2026-07-27,2026-07-26,0.11442304538186931
AT&T,2026-07-28,2026-07-27,0.14039965524701759
AT&T,2026-07-29,2026-07-28,0.10364032727703631
AT&T,2026-07-30,2026-07-29,0.09704523820814115
AT&T,2026-07-31,2026-07-30,0.11023269705742256
AT&T,2026-08-01,2026-07-31,0.11100030484903867
AT&T,2026-08-02,2026-08-01,0.09422284328195962
AT&T,2026-08-03,2026-08-02,0.10659386459508347
AT&T,2026-08-04,2026-08-03,0.1765144660562542
AT&T,2026-08-05,2026-08-04,0.15790054704393708
AT&T,2026-08-06,2026-08-05,0.1283554077076582
AT&T,2026-08-07,2026-08-06,0.1208263826730348
AT&T,2026-08-08,2026-08-07,0.08225542442102463
AT&T,2026-08-09,2026-08-08,0.09048344305931877
AT&T,2026-08-10,2026-08-09,0.11523436030675871
AT&T,2026-08-11,2026-08-10,0.1007933194427616
AT&T,2026-08-12,2026-08-11,0.09048506769863496
AT&T,2026-08-13,2026-08-12,0.09966726578167862
AT&T,2026-08-14,2026-08-13,0.09304051294742866
AT&T,2026-08-15,2026-08-14,0.0829500332955515
AT&T,2026-08-16,2026-08-15,0.07797041972778296
AT&T,2026-08-17,2026-08-16,0.0842499885799507
AT&T,2026-08-18,2026-08-17,0.10538233755599946
AT&T,2026-08-20,2026-08-18,0.08125090109135025
AT&T,2026-08-21,2026-08-20,0.07266221578820442
AT&T,2026-08-22,2026-08-21,0.1229561759088511
AT&T,2026-08-23,2026-08-22,0.08551505878998333
AT&T,2026-08-24,2026-08-23,0.08873960935711411
AT&T,2026-08-25,2026-08-24,0.08206551554386243
AT&T,2026-08-26,2026-08-25,0.09230779928790656
AT&T,2026-08-27,2026-08-26,0.0852200289132724
AT&T,2026-08-28,2026-08-27,0.10414560972285858
Accenture,2026-07-16,2026-07-15,0.09289212077833076
Accenture,2026-07-17,2026-07-16,0.1249798811710533
Accenture,2026-07-18,2026-07-17,0.3878687954464719
Accenture,2026-07-19,2026-07-18,0.406906349794958
Accenture,2026-07-20,2026-07-19,0.2645841004475633
Accenture,2026-07-21,2026-07-20,0.09443367097111421
Accenture,2026-07-22,2026-07-21,0.2980831642911801
Accenture,2026-07-23,2026-07-22,0.27855046266383165
Accenture,2026-07-24,2026-07-23,0.09790995388965196
Accenture,2026-07-25,2026-07-24,0.08355612648287358
Accenture,2026-07-26,2026-07-25,0.07286471054298216
Accenture,2026-07-27,2026-07-26,0.07804669264352027
Accenture,2026-07-28,2026-07-27,0.09295993868790564
Accenture,2026-07-29,2026-07-28,0.07128445697266961
Accenture,2026-07-30,2026-07-29,0.07768543134718753
Accenture,2026-07-31,2026-07-30,0.06902053243840389
Accenture,2026-08-01,2026-07-31,0.06902518839593652
Accenture,2026-08-02,2026-08-01,0.07238925593843537
Accenture,2026-08-03,2026-08-02,0.06073506627924774
Accenture,2026-08-04,2026-08-03,0.07536069567473491
Accenture,2026-08-05,2026-08-04,0.07479176176116886
Accenture,2026-08-06,2026-08-05,0.08374563919235511
Accenture,2026-08-07,2026-08-06,0.09112661128431165
Accenture,2026-08-08,2026-08-07,0.0842361208846043
Accenture,2026-08-09,2026-08-08,0.06736881324133714
Accenture,2026-08-10,2026-08-09,0.06790848751189027
Accenture,2026-08-11,2026-08-10,0.0696915722355641
Accenture,2026-08-12,2026-08-11,0.0660749909370908
Accenture,2026-08-13,2026-08-12,0.07061679627808692
Accenture,2026-08-14,2026-08-13,0.0693353543341706
Accenture,2026-08-15,2026-08-14,0.077302294564358
Accenture,2026-08-16,2026-08-15,0.0840307143591873
Accenture,2026-08-17,2026-08-16,0.0814336603332213
Accenture,2026-08-18,2026-08-17,0.07279700032392522
Accenture,2026-08-20,2026-08-18,0.06566590774396097
Accenture,2026-08-21,2026-08-20,0.0990280668824739
Accenture,2026-08-22,2026-08-21,0.07693082621388869
Accenture,2026-08-23,2026-08-22,0.062486909282640335
Accenture,2026-08-24,2026-08-23,0.06491660314750547
Accenture,2026-08-25,2026-08-24,0.08607577386085696
Accenture,2026-08-26,2026-08-25,0.0668302023406172
Accenture,2026-08-27,2026-08-26,0.10111796425306507
Accenture,2026-08-28,2026-08-27,0.06929285515038752
Adobe Inc,2026-07-16,2026-07-15,0.09482794043397025
Adobe Inc,2026-07-17,2026-07-16,0.1689682144655159
Adobe Inc,2026-07-18,2026-07-17,0.1829777809416916
Adobe Inc,2026-07-19,2026-07-18,0.1901395529258776
Adobe Inc,2026-07-20,2026-07-19,0.20821525679133657
Adobe Inc,2026-07-21,2026-07-20,0.05851497786984483
Adobe Inc,2026-07-22,2026-07-21,0.19390457881668755
Adobe Inc,2026-07-23,2026-07-22,0.18944067632622075
Adobe Inc,2026-07-24,2026-07-23,0.06133787592354989
Adobe Inc,2026-07-25,2026-07-24,0.06423041839167642
Adobe Inc,2026-07-26,2026-07-25,0.05828399819293861
Adobe Inc,2026-07-27,2026-07-26,0.054012848776447187
Adobe Inc,2026-07-28,2026-07-27,0.07413757035599478
Adobe Inc,2026-07-29,2026-07-28,0.05375176960346384
Adobe Inc,2026-07-30,2026-07-29,0.12133438182977063
Adobe Inc,2026-07-31,2026-07-30,0.05897284714746187
Adobe Inc,2026-08-01,2026-07-31,0.06743402608643023
Adobe Inc,2026-08-02,2026-08-01,0.05863329891580682
Adobe Inc,2026-08-03,2026-08-02,0.06390841494735588
Adobe Inc,2026-08-04,2026-08-03,0.11479028898928345
Adobe Inc,2026-08-05,2026-08-04,0.058690093698318235
Adobe Inc,2026-08-06,2026-08-05,0.06861441125304701
Adobe Inc,2026-08-07,2026-08-06,0.06487532886908942
Adobe Inc,2026-08-08,2026-08-07,0.0581276712188904
Adobe Inc,2026-08-09,2026-08-08,0.05566121543791014
Adobe Inc,2026-08-10,2026-08-09,0.06538709019805411
Adobe Inc,2026-08-11,2026-08-10,0.05423530235399132
Adobe Inc,2026-08-12,2026-08-11,0.05715024748167907
Adobe Inc,2026-08-13,2026-08-12,0.06518470105264651
Adobe Inc,2026-08-14,2026-08-13,0.05499804839457889
Adobe Inc,2026-08-15,2026-08-14,0.05316097309862733
Adobe Inc,2026-08-16,2026-08-15,0.05889213501562207
Adobe Inc,2026-08-17,2026-08-16,0.055316661647418996
Adobe Inc,2026-08-18,2026-08-17,0.06493701402240581
Adobe Inc,2026-08-20,2026-08-18,0.07008185560063562
Adobe Inc,2026-08-21,2026-08-20,0.06420390675153764
Adobe Inc,2026-08-22,2026-08-21,0.06557356630847089
Adobe Inc,2026-08-23,2026-08-22,0.05624459782944036
Adobe Inc,2026-08-24,2026-08-23,0.06132140764035532
Adobe Inc,2026-08-25,2026-08-24,0.04994140229880051
Adobe Inc,2026-08-26,2026-08-25,0.05410260601565575
Adobe Inc,2026-08-27,2026-08-26,0.06931676227451744
Adobe Inc,2026-08-28,2026-08-27,0.06287760651631424
Aflac,2026-07-16,2026-07-15,0.13739533734723341
Aflac,2026-07-17,2026-07-16,0.2970042603599553
Aflac,2026-07-18,2026-07-17,0.29677332989934935
Aflac,2026-07-19,2026-07-18,0.24030285092103632
Aflac,2026-07-20,2026-07-19,0.2823057858594987
Aflac,2026-07-21,2026-07-20,0.06100250493217074
Aflac,2026-07-22,2026-07-21,0.21655560036348287
Aflac,2026-07-23,2026-07-22,0.21764504044726818
Aflac,2026-07-24,2026-07-23,0.07223009968363259
Aflac,2026-07-25,2026-07-24,0.062294826564077144
Aflac,2026-07-26,2026-07-25,0.05874080207651744
Aflac,2026-07-27,2026-07-26,0.0601257186968972
Aflac,2026-07-28,2026-07-27,0.06277709490632744
Aflac,2026-07-29,2026-07-28,0.056661403952474765
Aflac,2026-07-30,2026-07-29,0.06588860831030285
Aflac,2026-07-31,2026-07-30,0.06542406048134475
Aflac,2026-08-01,2026-07-31,0.06354653001031263
Aflac,2026-08-02,2026-08-01,0.06602069965211843
Aflac,2026-08-03,2026-08-02,0.06788045936939668
Aflac,2026-08-04,2026-08-03,0.08251012227320431
Aflac,2026-08-05,2026-08-04,0.06401455624602481
Aflac,2026-08-06,2026-08-05,0.06811991572193121
Aflac,2026-08-07,2026-08-06,0.0964907053847911
Aflac,2026-08-08,2026-08-07,0.07027081070496477
Aflac,2026-08-09,2026-08-08,0.05938838094358034
Aflac,2026-08-10,2026-08-09,0.06682257759739674
Aflac,2026-08-11,2026-08-10,0.0632670581393232
Aflac,2026-08-12,2026-08-11,0.06374680116484255
Aflac,2026-08-13,2026-08-12,0.06896963143115564
Aflac,2026-08-14,2026-08-13,0.06532930147457094
Aflac,2026-08-15,2026-08-14,0.06694702314504952
Aflac,2026-08-16,2026-08-15,0.06583256398669468
Aflac,2026-08-17,2026-08-16,0.07907879329895628
Aflac,2026-08-18,2026-08-17,0.08454391677108786
Aflac,2026-08-20,2026-08-18,0.08355795637656893
Aflac,2026-08-21,2026-08-20,0.06284885245901362
Aflac,2026-08-22,2026-08-21,0.08540946366168545
Aflac,2026-08-23,2026-08-22,0.08391797525445732
Aflac,2026-08-24,2026-08-23,0.06497866461776369
Aflac,2026-08-25,2026-08-24,0.06012791557920261
Aflac,2026-08-26,2026-08-25,0.06338502696867165
Aflac,2026-08-27,2026-08-26,0.06494689572622026
Aflac,2026-08-28,2026-08-27,0.06548692964321523
Air Products,2026-07-16,2026-07-15,0.16632707463576024
Air Products,2026-07-17,2026-07-16,0.20053685506214924
Air Products,2026-07-18,2026-07-17,0.1701963247994832
Air Products,2026-07-19,2026-07-18,0.20614040780790344
Air Products,2026-07-20,2026-07-19,0.2303485847396599
Air Products,2026-07-21,2026-07-20,0.06936837049871258
Air Products,2026-07-22,2026-07-21,0.19138517203180694
Air Products,2026-07-23,2026-07-22,0.12537373944461794
Air Products,2026-07-24,2026-07-23,0.07148358869360594
Air Products,2026-07-25,2026-07-24,0.06746415792589389
Air Products,2026-07-26,2026-07-25,0.07220490827336468
Air Products,2026-07-27,2026-07-26,0.06832331517520973
Air Products,2026-07-28,2026-07-27,0.06344580218743501
Air Products,2026-07-29,2026-07-28,0.06362728808726237
Air Products,2026-07-30,2026-07-29,0.12405677231687429
Air Products,2026-07-31,2026-07-30,0.2246186783666564
Air Products,2026-08-01,2026-07-31,0.0766672787823699
Air Products,2026-08-02,2026-08-01,0.12329030260346208
Air Products,2026-08-03,2026-08-02,0.08168069917442355
Air Products,2026-08-04,2026-08-03,0.07665439022792042
Air Products,2026-08-05,2026-08-04,0.10164595959888367
Air Products,2026-08-06,2026-08-05,0.09251432638972878
Air Products,2026-08-07,2026-08-06,0.09654409252487983
Air Products,2026-08-08,2026-08-07,0.07058423749661469
Air Products,2026-08-09,2026-08-08,0.11388461420245988
Air Products,2026-08-10,2026-08-09,0.08516029436053951
Air Products,2026-08-11,2026-08-10,0.07577729515929199
Air Products,2026-08-12,2026-08-11,0.06898290195030166
Air Products,2026-08-13,2026-08-12,0.08894040648087165
Air Products,2026-08-14,2026-08-13,0.12316512831839554
Air Products,2026-08-15,2026-08-14,0.07441720908551741
Air Products,2026-08-16,2026-08-15,0.07198348406016719
Air Products,2026-08-17,2026-08-16,0.059977906395524694
Air Products,2026-08-18,2026-08-17,0.06200464312690146
Air Products,2026-08-20,2026-08-18,0.06398442276393135
Air Products,2026-08-21,2026-08-20,0.0630234695139491
Air Products,2026-08-22,2026-08-21,0.1316977090485466
Air Products,2026-08-23,2026-08-22,0.05984122205408393
Air Products,2026-08-24,2026-08-23,0.060251848840575106
Air Products,2026-08-25,2026-08-24,0.07333796239912882
Air Products,2026-08-26,2026-08-25,0.0628986257049362
Air Products,2026-08-27,2026-08-26,0.1164799190992527
Air Products,2026-08-28,2026-08-27,0.09043964918275305
Airbnb,2026-07-16,2026-07-15,0.16905982606045578
Airbnb,2026-07-17,2026-07-16,0.2919534042099211
Airbnb,2026-07-18,2026-07-17,0.2773573262147896
Airbnb,2026-07-19,2026-07-18,0.17196563535988474
Airbnb,2026-07-20,2026-07-19,0.1945835113250306
Airbnb,2026-07-21,2026-07-20,0.07793448339221865
Airbnb,2026-07-22,2026-07-21,0.13914049733103873
Airbnb,2026-07-23,2026-07-22,0.1414216683376055
Airbnb,2026-07-24,2026-07-23,0.07491622016709609
Airbnb,2026-07-25,2026-07-24,0.0738521217721324
Airbnb,2026-07-26,2026-07-25,0.06786596821614
Airbnb,2026-07-27,2026-07-26,0.060337880138342403
Airbnb,2026-07-28,2026-07-27,0.0748023217489262
Airbnb,2026-07-29,2026-07-28,0.07095289041553476
Airbnb,2026-07-30,2026-07-29,0.0705102835698802
Airbnb,2026-07-31,2026-07-30,0.0663902482081632
Airbnb,2026-08-01,2026-07-31,0.0682826697631399
Airbnb,2026-08-02,2026-08-01,0.0690401219108785
Airbnb,2026-08-03,2026-08-02,0.06570241548731692
Airbnb,2026-08-04,2026-08-03,0.0769858063945339
Airbnb,2026-08-05,2026-08-04,0.08914256663527698
Airbnb,2026-08-06,2026-08-05,0.08555112015090882
Airbnb,2026-08-07,2026-08-06,0.08747495381573112
Airbnb,2026-08-08,2026-08-07,0.07860495813453683
Airbnb,2026-08-09,2026-08-08,0.07769461164844793
Airbnb,2026-08-10,2026-08-09,0.10219123455380785
Airbnb,2026-08-11,2026-08-10,0.07951562967746484
Airbnb,2026-08-12,2026-08-11,0.07520004832375926
Airbnb,2026-08-13,2026-08-12,0.07932188326521816
Airbnb,2026-08-14,2026-08-13,0.08029120524369027
Airbnb,2026-08-15,2026-08-14,0.06397602619061071
Airbnb,2026-08-16,2026-08-15,0.0643425617223009
Airbnb,2026-08-17,2026-08-16,0.06898144340898449
Airbnb,2026-08-18,2026-08-17,0.061062387763882064
Airbnb,2026-08-20,2026-08-18,0.06416401430950824
Airbnb,2026-08-21,2026-08-20,0.05966326809058997
Airbnb,2026-08-22,2026-08-21,0.08075592947518728
Airbnb,2026-08-23,2026-08-22,0.08159799114600252
Airbnb,2026-08-24,2026-08-23,0.07283714745204684
Airbnb,2026-08-25,2026-08-24,0.07491945469367789
Airbnb,2026-08-26,2026-08-25,0.07303188781591641
Airbnb,2026-08-27,2026-08-26,0.06667342761646633
Airbnb,2026-08-28,2026-08-27,0.07232582987255831
Alliant Energy,2026-07-16,2026-07-15,0.175979534837038
Alliant Energy,2026-07-17,2026-07-16,0.2703950555394522
Alliant Energy,2026-07-18,2026-07-17,0.18920669342129737
Alliant Energy,2026-07-19,2026-07-18,0.10148248894258971
Alliant Energy,2026-07-20,2026-07-19,0.1174983872801788
Alliant Energy,2026-07-21,2026-07-20,0.07637281257564665
Alliant Energy,2026-07-22,2026-07-21,0.2276343087694348
Alliant Energy,2026-07-23,2026-07-22,0.2125398525864023
Alliant Energy,2026-07-24,2026-07-23,0.11672291400662116
Alliant Energy,2026-07-25,2026-07-24,0.06856966429460942
Alliant Energy,2026-07-26,2026-07-25,0.07179487127851791
Alliant Energy,2026-07-27,2026-07-26,0.08737121678770277
Alliant Energy,2026-07-28,2026-07-27,0.08945741210103475
Alliant Energy,2026-07-29,2026-07-28,0.08877061577724077
Alliant Energy,2026-07-30,2026-07-29,0.06645259625784694
Alliant Energy,2026-07-31,2026-07-30,0.08219902483550434
Alliant Energy,2026-08-01,2026-07-31,0.08000694038800482
Alliant Energy,2026-08-02,2026-08-01,0.07889716794363666
Alliant Energy,2026-08-03,2026-08-02,0.05965274780446106
Alliant Energy,2026-08-04,2026-08-03,0.057777947783479444
Alliant Energy,2026-08-05,2026-08-04,0.06434711965178164
Alliant Energy,2026-08-06,2026-08-05,0.062105324225918856
Alliant Energy,2026-08-07,2026-08-06,0.07844544264126074
Alliant Energy,2026-08-08,2026-08-07,0.10281495725617051
Alliant Energy,2026-08-09,2026-08-08,0.07081480188148259
Alliant Energy,2026-08-10,2026-08-09,0.07309030454056609
Alliant Energy,2026-08-11,2026-08-10,0.06856618023036476
Alliant Energy,2026-08-12,2026-08-11,0.05949113716722487
Alliant Energy,2026-08-13,2026-08-12,0.06172810072538626
Alliant Energy,2026-08-14,2026-08-13,0.07128311826807998
Alliant Energy,2026-08-15,2026-08-14,0.06406678491354534
Alliant Energy,2026-08-16,2026-08-15,0.05984863110754468
Alliant Energy,2026-08-17,2026-08-16,0.06695778394194296
Alliant Energy,2026-08-18,2026-08-17,0.0665067214146573
Alliant Energy,2026-08-20,2026-08-18,0.06361593543984467
Alliant Energy,2026-08-21,2026-08-20,0.06481208458757803
Alliant Energy,2026-08-22,2026-08-21,0.10335504883686064
Alliant Energy,2026-08-23,2026-08-22,0.07135637292852737
Alliant Energy,2026-08-24,2026-08-23,0.06969117680108594
Alliant Energy,2026-08-25,2026-08-24,0.06397789953980526
Alliant Energy,2026-08-26,2026-08-25,0.08205768126773738
Alliant Energy,2026-08-27,2026-08-26,0.07439480788184472
Alliant Energy,2026-08-28,2026-08-27,0.07172927502248638
Alphabet Inc. (Class A),2026-07-16,2026-07-15,0.1711432494191757
Alphabet Inc. (Class A),2026-07-17,2026-07-16,0.1609236182108451
Alphabet Inc. (Class A),2026-07-18,2026-07-17,0.07226560705133445
Alphabet Inc. (Class A),2026-07-19,2026-07-18,0.08293858617651328
Alphabet Inc. (Class A),2026-07-20,2026-07-19,0.09518227651016353
