Ticker,Company,Status,Filing,Output,Error
EXE,Expand Energy,Skipped - output exists,,questions/Expand Energy.txt,
WMB,Williams Companies,Skipped - output exists,,questions/Williams Companies.txt,
AFL,Aflac,Skipped - output exists,,questions/Aflac.txt,
AXP,American Express,Skipped - output exists,,questions/American Express.txt,
AIG,American International Group,Skipped - output exists,,questions/American International Group.txt,
APO,Apollo Global Management,Skipped - output exists,,questions/Apollo Global Management.txt,
GS,Goldman Sachs,Skipped - output exists,,questions/Goldman Sachs.txt,
JPM,JPMorgan Chase,Skipped - output exists,,questions/JPMorgan Chase.txt,
PYPL,PayPal,Skipped - output exists,,questions/PayPal.txt,
V,Visa Inc.,Skipped - output exists,,questions/Visa Inc.txt,
WFC,Wells Fargo,Skipped - output exists,,questions/Wells Fargo.txt,
CI,Cigna,Skipped - output exists,,questions/Cigna.txt,
COO,Cooper Companies (The),Skipped - output exists,,questions/Cooper Companies (The).txt,
CVS,CVS Health,Skipped - output exists,,questions/CVS Health.txt,
DHR,Danaher Corporation,Skipped - output exists,,questions/Danaher Corporation.txt,
DVA,DaVita,Skipped - output exists,,questions/DaVita.txt,
DXCM,Dexcom,Skipped - output exists,,questions/Dexcom.txt,
EW,Edwards Lifesciences,Skipped - output exists,,questions/Edwards Lifesciences.txt,
GEHC,GE HealthCare,Skipped - output exists,,questions/GE HealthCare.txt,
GILD,Gilead Sciences,Skipped - output exists,,questions/Gilead Sciences.txt,
MMM,3M,Skipped - output exists,,questions/3M.txt,
AOS,A. O. Smith,Skipped - output exists,,questions/A. O. Smith.txt,
BA,Boeing,Skipped - output exists,,questions/Boeing.txt,
BR,Broadridge Financial Solutions,Skipped - output exists,,questions/Broadridge Financial Solutions.txt,
CHRW,C.H. Robinson,Skipped - output exists,,questions/C.H. Robinson.txt,
CARR,Carrier Global,Skipped - output exists,,questions/Carrier Global.txt,
CAT,Caterpillar Inc.,Skipped - output exists,,questions/Caterpillar Inc.txt,
CTAS,Cintas,Skipped - output exists,,questions/Cintas.txt,
XYL,Xylem Inc.,Skipped - output exists,,questions/Xylem Inc.txt,
ACN,Accenture,Skipped - output exists,,questions/Accenture.txt,
ADBE,Adobe Inc.,Skipped - output exists,,questions/Adobe Inc.txt,
AAPL,Apple Inc.,Skipped - output exists,,questions/Apple Inc.txt,
CSCO,Cisco,Skipped - output exists,,questions/Cisco.txt,
CTSH,Cognizant,Skipped - output exists,,questions/Cognizant.txt,
HPE,Hewlett Packard Enterprise,Skipped - output exists,,questions/Hewlett Packard Enterprise.txt,
SNDK,Sandisk,Skipped - output exists,,questions/Sandisk.txt,
NOW,ServiceNow,Skipped - output exists,,questions/ServiceNow.txt,
WDC,Western Digital,Skipped - output exists,,questions/Western Digital.txt,
WDAY,"Workday, Inc.",Skipped - output exists,,"questions/Workday, Inc.txt",
APD,Air Products,Skipped - output exists,,questions/Air Products.txt,
CTVA,Corteva,Skipped - output exists,,questions/Corteva.txt,
IFF,International Flavors & Fragrances,Skipped - output exists,,questions/International Flavors & Fragrances.txt,
IP,International Paper,Skipped - output exists,,questions/International Paper.txt,
LYB,LyondellBasell,Skipped - output exists,,questions/LyondellBasell.txt,
MLM,Martin Marietta Materials,Skipped - output exists,,questions/Martin Marietta Materials.txt,
MOS,Mosaic Company (The),Skipped - output exists,,questions/Mosaic Company (The).txt,
SW,Smurfit Westrock,Skipped - output exists,,questions/Smurfit Westrock.txt,
STLD,Steel Dynamics,Skipped - output exists,,questions/Steel Dynamics.txt,
VMC,Vulcan Materials Company,Completed,VMC_10-K_2026-02-19.html,questions/Vulcan Materials Company.txt,
CBRE,CBRE Group,Completed,CBRE_10-K_2026-02-12.html,questions/CBRE Group.txt,
CSGP,CoStar Group,Completed,CSGP_10-K_2026-02-26.html,questions/CoStar Group.txt,
IRM,Iron Mountain,Completed,IRM_10-K_2026-02-12.html,questions/Iron Mountain.txt,
KIM,Kimco Realty,Completed,KIM_10-K_2026-02-20.html,questions/Kimco Realty.txt,
MAA,Mid-America Apartment Communities,Completed,MAA_10-K_2026-02-06.html,questions/Mid-America Apartment Communities.txt,
VTR,Ventas,Completed,VTR_10-K_2026-02-06.html,questions/Ventas.txt,
WELL,Welltower,Completed,WELL_10-K_2026-02-12.html,questions/Welltower.txt,
WY,Weyerhaeuser,Completed,WY_10-K_2026-02-13.html,questions/Weyerhaeuser.txt,
AES,AES Corporation,Completed,AES_10-K_2026-03-02.html,questions/AES Corporation.txt,
LNT,Alliant Energy,Completed,LNT_10-K_2026-02-20.html,questions/Alliant Energy.txt,
AEP,American Electric Power,Completed,AEP_10-K_2026-02-12.html,questions/American Electric Power.txt,
ED,Consolidated Edison,Completed,ED_10-K_2026-02-19.html,questions/Consolidated Edison.txt,
CEG,Constellation Energy,Completed,CEG_10-K_2026-02-24.html,questions/Constellation Energy.txt,
D,Dominion Energy,Completed,D_10-K_2026-02-23.html,questions/Dominion Energy.txt,
VST,Vistra Corp.,Completed,VST_10-K_2026-02-27.html,questions/Vistra Corp.txt,
WEC,WEC Energy Group,Completed,WEC_10-K_2026-02-20.html,questions/WEC Energy Group.txt,
XEL,Xcel Energy,Completed,XEL_10-K_2026-02-25.html,questions/Xcel Energy.txt,
